epoch,mpe_mpe-large-spread-v1_magic_aaai64 - _step,mpe_mpe-large-spread-v1_magic_aaai64 - _step__MIN,mpe_mpe-large-spread-v1_magic_aaai64 - _step__MAX,mpe_mpe-large-spread-v1_magic_aaai64 - episode_return,mpe_mpe-large-spread-v1_magic_aaai64 - episode_return__MIN,mpe_mpe-large-spread-v1_magic_aaai64 - episode_return__MAX,mpe_mpe-large-spread-v1_tarmac_aaai64 - _step,mpe_mpe-large-spread-v1_tarmac_aaai64 - _step__MIN,mpe_mpe-large-spread-v1_tarmac_aaai64 - _step__MAX,mpe_mpe-large-spread-v1_tarmac_aaai64 - episode_return,mpe_mpe-large-spread-v1_tarmac_aaai64 - episode_return__MIN,mpe_mpe-large-spread-v1_tarmac_aaai64 - episode_return__MAX,mpe_mpe-large-spread-v1_commnet_aaai64 - _step,mpe_mpe-large-spread-v1_commnet_aaai64 - _step__MIN,mpe_mpe-large-spread-v1_commnet_aaai64 - _step__MAX,mpe_mpe-large-spread-v1_commnet_aaai64 - episode_return,mpe_mpe-large-spread-v1_commnet_aaai64 - episode_return__MIN,mpe_mpe-large-spread-v1_commnet_aaai64 - episode_return__MAX,mpe_mpe-large-spread-v1_ic3net_aaai64 - _step,mpe_mpe-large-spread-v1_ic3net_aaai64 - _step__MIN,mpe_mpe-large-spread-v1_ic3net_aaai64 - _step__MAX,mpe_mpe-large-spread-v1_ic3net_aaai64 - episode_return,mpe_mpe-large-spread-v1_ic3net_aaai64 - episode_return__MIN,mpe_mpe-large-spread-v1_ic3net_aaai64 - episode_return__MAX,mpe_mpe-large-spread-v1_tiecomm_aaai - _step,mpe_mpe-large-spread-v1_tiecomm_aaai - _step__MIN,mpe_mpe-large-spread-v1_tiecomm_aaai - _step__MAX,mpe_mpe-large-spread-v1_tiecomm_aaai - episode_return,mpe_mpe-large-spread-v1_tiecomm_aaai - episode_return__MIN,mpe_mpe-large-spread-v1_tiecomm_aaai - episode_return__MAX
1,1,1,1,-531.8833333,-531.8833333,-531.8833333,1,1,1,-556.1666667,-556.1666667,-556.1666667,1,1,1,-489.6666667,-489.6666667,-489.6666667,1,1,1,-529.1,-529.1,-529.1,1,1,1,-538.7833333,-538.7833333,-538.7833333
2,2,2,2,-575.3666667,-575.3666667,-575.3666667,2,2,2,-559.5833333,-559.5833333,-559.5833333,2,2,2,-552.7833333,-552.7833333,-552.7833333,2,2,2,-505.05,-505.05,-505.05,2,2,2,-516.4166667,-516.4166667,-516.4166667
3,3,3,3,-678.8333333,-678.8333333,-678.8333333,3,3,3,-557.4833333,-557.4833333,-557.4833333,3,3,3,-608.4166667,-608.4166667,-608.4166667,3,3,3,-529.4,-529.4,-529.4,3,3,3,-518.7833333,-518.7833333,-518.7833333
4,4,4,4,-524.7,-524.7,-524.7,4,4,4,-518.2666667,-518.2666667,-518.2666667,4,4,4,-539.0166667,-539.0166667,-539.0166667,4,4,4,-568.7833333,-568.7833333,-568.7833333,4,4,4,-596.75,-596.75,-596.75
5,5,5,5,-800.1333333,-800.1333333,-800.1333333,5,5,5,-544.7833333,-544.7833333,-544.7833333,5,5,5,-569.95,-569.95,-569.95,5,5,5,-538.9,-538.9,-538.9,5,5,5,-572.7333333,-572.7333333,-572.7333333
6,6,6,6,-533.5333333,-533.5333333,-533.5333333,6,6,6,-476.5166667,-476.5166667,-476.5166667,6,6,6,-584.7166667,-584.7166667,-584.7166667,6,6,6,-538.1833333,-538.1833333,-538.1833333,6,6,6,-535.4166667,-535.4166667,-535.4166667
7,7,7,7,-512.6,-512.6,-512.6,7,7,7,-520.0666667,-520.0666667,-520.0666667,7,7,7,-555.1,-555.1,-555.1,7,7,7,-647.1333333,-647.1333333,-647.1333333,7,7,7,-543.25,-543.25,-543.25
8,8,8,8,-521.2833333,-521.2833333,-521.2833333,8,8,8,-594.8,-594.8,-594.8,8,8,8,-496.5,-496.5,-496.5,8,8,8,-554.2666667,-554.2666667,-554.2666667,8,8,8,-538.9666667,-538.9666667,-538.9666667
9,9,9,9,-568.7166667,-568.7166667,-568.7166667,9,9,9,-510.8,-510.8,-510.8,9,9,9,-501.4333333,-501.4333333,-501.4333333,9,9,9,-565.1333333,-565.1333333,-565.1333333,9,9,9,-575.4166667,-575.4166667,-575.4166667
10,10,10,10,-536.5833333,-536.5833333,-536.5833333,10,10,10,-600.6833333,-600.6833333,-600.6833333,10,10,10,-590.9666667,-590.9666667,-590.9666667,10,10,10,-505.2166667,-505.2166667,-505.2166667,10,10,10,-560.45,-560.45,-560.45
11,11,11,11,-479.3833333,-479.3833333,-479.3833333,11,11,11,-548.1833333,-548.1833333,-548.1833333,11,11,11,-516.7333333,-516.7333333,-516.7333333,11,11,11,-530.75,-530.75,-530.75,11,11,11,-611.5166667,-611.5166667,-611.5166667
12,12,12,12,-571.2333333,-571.2333333,-571.2333333,12,12,12,-510,-510,-510,12,12,12,-547.9666667,-547.9666667,-547.9666667,12,12,12,-495.8333333,-495.8333333,-495.8333333,12,12,12,-558.8,-558.8,-558.8
13,13,13,13,-492.3333333,-492.3333333,-492.3333333,13,13,13,-475.2833333,-475.2833333,-475.2833333,13,13,13,-544.4166667,-544.4166667,-544.4166667,13,13,13,-544.0333333,-544.0333333,-544.0333333,13,13,13,-568.2333333,-568.2333333,-568.2333333
